@relation Example

@attribute text string
@attribute isValid {yes,no}

@data
'medium to tall fir of western North America having a conic crown and branches in tiers; leaves smell of orange when crushed amabilis fir,white fir,Pacific silver fir,red silver fir,Christmas tree,Abies amabilis',yes
'a nut with a hexagonal shape hex nut',no
'a board that resembles a broad ski or a small surfboard; used in a standing position to slide down snow-covered slopes snowboard',no
'a passenger car for passengers who wish to smoke smoker,smoking car,smoking carriage,smoking compartment',yes
'mechanical device used as a plaything to support someone swinging back and forth swing',no
'the position where a thing or person stands stand',yes
'a mill for grinding meat meat grinder',yes
'meter that measures the potential difference between two points voltmeter',no
'someone who imparts energy and vitality and spirit to other people energizer,energiser,vitalizer,vitaliser,animator',yes
'a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal file',no
'building material used as siding or roofing shingle,shake',no
'a formal and conservative person with old-fashioned views square,square toes',yes
'a kilogram of a narcotic drug; \"they were carrying two keys of heroin\" key',yes
'a follower who hangs around a host (without benefit to the host) in hope of gain or advantage leech,parasite,sponge,sponger',yes
'a machine for driving rivets riveting machine,riveter,rivetter',no
'an electrical device that can interrupt the flow of electrical current when it is overloaded fuse,electrical fuse,safety fuse',yes
'a board that hangs on a wall; displays announcements bulletin board,notice board',no
'chimpanzees; more closely related to Australopithecus than to other pongids Pan,genus Pan',no
'a plumbing fixture that sprays water over you; \"they installed a shower in the bathroom\" shower',no
'a Turk (especially a Turk who is a member of the tribe of Osman I) Ottoman,Ottoman Turk,Osmanli',yes
'a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle leg',yes
'a route over which supplies can be delivered supply line,supply route',yes
'small markers inserted into a surface to mark scores or define locations etc. peg,pin',no
'an official who affixes a seal to a document sealer',yes
'a winged often one-seed indehiscent fruit as of the ash or elm or maple samara,key fruit,key',yes
'adjustable wrench for gripping and turning a pipe; has two serrated jaws that are adjusted to grip the pipe pipe wrench,tube wrench',no
'electro-acoustic transducer that converts electrical signals into sounds loud enough to be heard at a distance loudspeaker,speaker,speaker unit,loudspeaker system,speaker system',yes
'a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow sled,sledge,sleigh',no
'a series of things depending on each other as if linked together; \"the chain of command\"; \"a complicated concatenation of circumstances\" chain,concatenation',yes
'an area in which something acts or operates or has power or control: \"the range of a supersonic jet\"; \"a piano has a greater range than the human voice\"; \"the ambit of municipal legislation\"; \"within the compass of this article\"; \"within the scope of an investigation\"; \"outside the reach of the law\"; \"in the political orbit of a world power\" scope,range,reach,orbit,compass,ambit',yes
'lock that can be opened only by turning dials in a special sequence combination lock',no
'a circular ring for holding up a curtain curtain ring',no
'a receptacle into which an electric device can be inserted socket',no
'a central cohesive source of support and stability; \"faith is his anchor\"; \"the keystone of campaign reform was the ban on soft money\"; \"he is the linchpin of this firm\" anchor,mainstay,keystone,backbone,linchpin,lynchpin',yes
'a round vessel that is open at the top; used chiefly for holding food or liquids bowl',no
'United States lawyer and poet who wrote a poem after witnessing the British attack on Baltimore during the War of 1812; the poem was later set to music and entitled `The Star-Spangled Banner\' (1779-1843) Key,Francis Scott Key',yes
'a reference book that is published regularly once every year annual,yearly,yearbook',yes
'an endless saw consisting of a toothed metal band that is driven around two wheels bandsaw,band saw',no
'food prepared for dogs dog food',no
'a soft thin (usually translucent) paper tissue,tissue paper',no
'the act of whitening something by bleaching it (exposing it to sunlight or using a chemical bleaching agent) bleach',yes
'material suitable for manufacture or use or finishing raw material,staple',no
'a device that holds a piece of machine work and guides the tools operating on it jig',no
'hairpiece consisting of a tress of false hair; used by women to give shape to a coiffure switch',yes
'a protective mask with a filter; protects the face and lungs against poisonous gases gasmask,respirator,gas helmet',no
'iron or earthenware cooking pot; used for stews Dutch oven',no
'a large (usually metallic) vessel for holding gases or liquids tank,storage tank',no
'the bottom side of a geometric figure from which the altitude can be constructed; \"the base of the triangle\" base',yes
'the sacred writings of the Christian religions; \"he went to carry the Word to the heathen\" Bible,Christian Bible,Book,Good Book,Holy Scripture,Holy Writ,Scripture,Word of God,Word',yes
'a distinctive nature, character, or type; \"a leader in the mold of her predecessors\" mold,mould',yes
'a small slender (often pointed) piece of wood or metal used to support or fasten or attach things pin',no
'a tool for cutting female (internal) screw threads tap',no
'a representation of the effect of shadows in a picture or drawing (as by shading or darker pigment) shade',yes
'the quantity contained in a plate plate,plateful',yes
'a grasping structure on the limb of a crustacean or other arthropods claw,chela,nipper,pincer',yes
'the display that is electronically created on the surface of the large end of a cathode-ray tube screen,CRT screen',yes
'a loose coverall (coat or frock) reaching down to the ankles duster,gaberdine,gabardine,smock,dust coat',no
'an electrical (or electronic) fitting that is connected to a source of power and equipped to receive an insert receptacle',no
'diameter of a tube or gun barrel bore,gauge,caliber,calibre',yes
'a small worthless amount; \"you don\'t know jack\" jack,doodly-squat,diddly-squat,diddlysquat,diddly-shit,diddlyshit,diddly,diddley,squat,shit',yes
'a master\'s degree in teaching Master of Arts in Teaching,MAT',yes
'the maximum movement available to a pivoted or reciprocating piece by a cam throw,stroke,cam stroke',yes
'large aquatic carnivorous mammal with fin-like forelimbs no hind limbs, including: whales; dolphins; porpoises; narwhals cetacean,cetacean mammal,blower',yes
'a large piece of cloth laid over the floor or furniture while a room is being painted drop cloth',no
'the discharge of a firearm as signal or as a salute in military ceremonies; \"two runners started before the gun\"; \"a twenty gun salute\" gun',yes
'plate (a timber along the top of a wall) to support the ends of joists, etc., and distribute the load wall plate',no
'a number of sheets (ticket or stamps etc.) bound together on one edge; \"he bought a book of stamps\" book',no
'an electric railway operating below the surface of the ground (usually in a city); \"in Paris the subway system is called the `metro\' and in London it is called the `tube\' or the `underground\'\" metro,tube,underground,subway system,subway',yes
'equality of score in a contest tie',yes
'an old or over-worked horse hack,jade,nag,plug',yes
'a person who is physically weak and ineffectual weakling,doormat,wuss',yes
'a farmhand hired to remove weeds weeder',yes
'a person who likes to join groups joiner',yes
'a committee having supervisory powers; \"the board has seven members\" board',yes
'a self-contained weapons platform housing guns and capable of rotation gun enclosure,gun turret,turret',no
'a movement in an arc; \"a sweep of his arm\" sweep',yes
'the amount that a tub will hold; \"a tub of water\" tub,tubful',no
'a category falling within certain defined limits bracket',yes
'the owner or manager of a plantation planter,plantation owner',yes
'the act of pairing a male and female for reproductive purposes; \"the casual couplings of adolescents\"; \"the mating of some species occurs only in the spring\" coupling,mating,pairing,conjugation,union,sexual union',yes
'the finishing line on a racetrack wire',no
'headdress that protects the head from bad weather; has shaped crown and usually a brim hat,chapeau,lid',no
'a railing placed alongside a stairway or road for safety safety rail,guardrail',no
'any of various rotating shafts that serve as axes for larger rotating parts spindle,mandrel,mandril,arbor',yes
'the part of a key that enters a lock and lifts the tumblers bit',yes
'a strong downward air current downdraft',yes
'a short-handled receptacle into which dust can be swept dustpan',no
'mechanical device attached to an elevated structure; rotates freely to show the direction of the wind weathervane,weather vane,vane,wind vane',no
'a small piece of cloth or paper rag,shred,tag,tag end,tatter',no
'a set of points such as those of a closed surface or an analogue in three or more dimensions manifold',yes
'a light door with transparent or glazed panels extending the full length French door',no
'a set of two similar things considered as a unit pair,brace',yes
'cutlery used for serving and eating food fork',no
'a transmission line for high-frequency signals coaxial cable,coax,coax cable',no
'a pitch of a baseball that is thrown with spin so that its path curves as it approaches the batter curve,curve ball,breaking ball,bender',yes
'axis consisting of a short shaft that supports something that turns pivot,pin',no
'protective covering that protects something from direct sunlight; \"they used umbrellas as shades\"; \"as the sun moved he readjusted the shade\" shade',yes
'a gasket consisting of a flat ring of rubber or plastic; used to seal a joint against high pressure O ring',no
'a support consisting of an arrangement of straps for holding something to the body (especially one supporting a person suspended from a parachute) harness',no
'a connection intended to be used for a limited time temporary hookup,patch',yes
'a vertical cylindrical structure standing alone and not supporting anything (such as a monument) column,pillar',yes
'informal terms for a (young) woman dame,doll,wench,skirt,chick,bird',yes
'mold consisting of a box with sand shaped to mold metal sandbox',yes
'one of the supports for a piece of furniture leg',no
'someone who cleans windows for pay window cleaner',yes
'a movable iron plate that regulates the draft in a stove or chimney or furnace damper',yes
'the combined stakes of the betters pool,kitty',yes
'machinery that processes materials by grinding or crushing mill,grinder,milling machinery',no
'a porous mass of interlacing fibers that forms the internal skeleton of various marine animals and usable to absorb water or any porous rubber or cellulose product similarly used sponge',yes
'a minor short-term fight brush,clash,encounter,skirmish',yes
'paper fastener consisting of a short length of U-shaped wire that can fasten papers together staple',yes
'the state of being a married couple voluntarily joined for life (or until divorce); \"a long and happy marriage\"; \"God bless this union\" marriage,matrimony,union,spousal relationship,wedlock',yes
'a handcart that holds groceries or other goods while shopping shopping cart',no
'enclosure consisting of a section of canal that can be closed to control the water level; used to raise or lower vessels that pass through it lock,lock chamber',yes
'a hinged switch that can assume either of two positions toggle switch,toggle,on-off switch,on/off switch',no
'the noise made by a short puff of steam (as from an engine) pant',yes
'a person who is gullible and easy to take advantage of chump,fool,gull,mark,patsy,fall guy,sucker,soft touch,mug',yes
'a substance capable of bringing about the reduction of another substance as it itself is oxidized; used in photography to lessen the density of a negative or print by oxidizing some of the loose silver reducing agent,reducer,reductant',yes
'a person who backs a politician or a team etc.; \"all their supporters came out for the game\"; \"they are friends of the library\" supporter,protagonist,champion,admirer,booster,friend',yes
'common Old World heath represented by many varieties; low evergreen grown widely in the northern hemisphere heather,ling,Scots heather,broom,Calluna vulgaris',yes
'an implement used in baseball by the batter baseball bat,lumber',yes
'a paved surface where aircraft stand while not being used apron',yes
'an event in which one thing is substituted for another; \"the replacement of lost blood by a transfusion of donor blood\" substitution,permutation,transposition,replacement,switch',yes
'a powered conveyance that carries skiers up a hill ski tow,ski lift,lift',yes
'a wave that lifts the surface of the water or ground lift,rise',yes
'one of the two ends of a magnet where the magnetism seems to be concentrated pole,magnetic pole',yes
'a freight car that transports liquids or gases in bulk tank car,tank',yes
'prescribed guide for conduct or action rule,prescript',yes
'a short set of commands to correct a bug in a computer program patch',yes
'a worker who inserts and hammers rivets riveter,rivetter',yes
'a hole for the escape of gas or air vent,venthole,vent-hole,blowhole',no
'emergency care given before regular medical aid can be obtained first aid',yes
'diagonal line traversing a shield from the upper right corner to the lower left bend,bend dexter',yes
'a vowellike sound that serves as a consonant semivowel,glide',yes
'a sudden downpour (as of tears or sparks etc) likened to a rain shower; \"a little shower of rose petals\"; \"a sudden cascade of sparks\" shower,cascade',yes
'the act of adding extraneous decorations to something ornamentation,embellishment',yes
'a slightly elastic machine-knit fabric jersey',no
'when a wrestler\'s shoulders are forced to the mat fall,pin',yes
'any of various more-or-less horizontal spars or poles used to extend the foot of a sail or for handling cargo or in mooring boom',yes
'a political unit formed from previously independent people or organizations; \"the Soviet Union\" union',yes
'a club-shaped wooden object used in bowling; set up in triangular groups of ten as the target bowling pin,pin',yes
'one of the layers forming the heel of a shoe or boot lift',yes
'a unit of length chain',yes
'a frame of iron bars to hold a fire grate,grating',no
'a hand tool with a flat face used for smoothing and finishing the surface of plaster or cement or stucco float,plasterer\'s float',no
'a kitchen appliance with interchangeable blades; used for shredding or blending or chopping or slicing food food processor',no
'writing implement consisting of a colored stick of composition wax used for writing and drawing crayon,wax crayon',yes
'a terrestrial evergreen shrub or small tree of western Australia having brilliant yellow-orange flowers; parasitic on roots of grasses flame tree,fire tree,Christmas tree,Nuytsia floribunda',yes
'persons who administer justice judiciary,bench',yes
'a protective pad over a mattress to protect it mattress pad',no
'a window with one or more casements casement window',no
'a position of relative inferiority; \"an achievement that puts everything else in the shade\"; \"his brother\'s success left him in the shade\" shade',yes
'immense East Indian fruit resembling breadfruit; it contains an edible pulp and nutritious seeds that are commonly roasted jackfruit,jak,jack',yes
'a heater and storage tank to supply heated water water heater,hot-water heater,hot-water tank',no
'someone who gives a warning so that a mistake can be avoided admonisher,monitor,reminder',yes
'tube inserted into a body cavity (as during surgery) to remove unwanted material drain',yes
'a device to hurl clay pigeons into the air for trapshooters trap',yes
'installation from which a military force initiates operations; \"the attack wiped out our forward bases\" base,base of operations',yes
'jewelry worn around the wrist for decoration bracelet,bangle',no
'the act of treating something to make it repel water waterproofing,sealing',yes
'a pressing iron that can emit steam steam iron',no
'United States singer and film actress (1922-1969) Garland,Judy Garland',yes
'the quantity contained in a bucket bucket,bucketful',yes
'a substance used to ignite or kindle a fire igniter,ignitor,lighter',yes
'a person who shoots a gun (as regards their ability) gunman,gun',yes
'a length of pipe with a sharp bend in it elbow',no
'a refrigerator for cooling liquids cooler,ice chest',yes
'spring-loaded doorlock that can only be opened from the outside with a key latch,door latch',no
'hand tool for boring holes auger,gimlet,screw auger,wimble',no
'the act of moving with great haste; \"he made a dash for the door\" dash,bolt',yes
'metal covering leading to a vent that exhausts smoke or fumes hood,exhaust hood',no
'a sweeping blow or stroke; \"he took a wild swing at my head\" swing',yes
'any communal combination of funds; \"everyone contributed to the pool\" pool',yes
'heater that burns oil (as kerosine) for heating or cooking oil heater,oilstove,kerosene heater,kerosine heater',no
'a loose protective coverall or smock worn over ordinary clothing for dirty work overall,boilersuit,boilers suit',no
'a layer of lead surrounding the highly reactive core of a nuclear reactor blanket',yes
'a hanging bed of canvas or rope netting (usually suspended between two trees); swings easily hammock,sack',no
'a kitchen appliance for brewing coffee automatically coffee maker',no
'the underlying structure; \"providing a factual framework for future research\"; \"it is part of the fabric of society\" framework,fabric',yes
'a sustained effort; \"it was a long pull but we made it\" pull',yes
'any of numerous widely distributed small wading birds of the family Rallidae having short wings and very long toes for running on soft mud rail',yes
'(law) a railing that encloses the part of the courtroom where the judges and lawyers sit and the case is tried; \"spectators were not allowed past the bar\" bar',yes
'a native or inhabitant of Poland Pole',yes
'rib section of a forequarter of veal or pork or especially lamb or mutton rack',yes
'endless loop of flexible material between two rotating shafts or pulleys belt',yes
'an edge tool having two crossed pivoting blades scissors,pair of scissors',no
'glass made with plates of plastic or resin or other material between two sheets of glass to prevent shattering safety glass,laminated glass,shatterproof glass',no
'a barrel used as a cistern to hold rainwater rain barrel',no
'hand tool consisting of a stick with a rubber suction cup at one end; used to clean clogged drains plunger,plumber\'s helper',no
'the process of becoming mildewed mildew,mold,mould',yes
'a vertical pipe in a building riser,riser pipe,riser pipeline,riser main',no
'protective garment consisting of a pad worn by football or baseball or hockey players knee pad',no
'United States manufacturer of breakfast cereals and Postum (1854-1914) Post,C. W. Post,Charles William Post',yes
'a wrestling hold in which you wrap your legs around the opponents body or head and put your feet together and squeeze scissors,scissors hold,scissor hold,scissor grip,scissors grip',yes
'a cook who roasts food roaster',yes
'lifting device consisting of a horizontal cylinder turned by a crank on which a cable or rope winds winch,windlass',yes
'a hazard on a golf course bunker,sand trap,trap',yes
'baby bed with high sides made of slats crib,cot',no
